tempo,regiao,entidade,localizacao_geografica,ebitda,gastos_operacionais,rendimentos_operacionais,resultado_liquido,resultados_operacionais,ano,mes
2015-06-01,Norte,"Centro Hospitalar Médio Ave, EPE","41.3423984, -8.4802503",-429691.58,22089153.46,20994567.68,-985437.32,-1094585.78,2015,6
2015-06-01,Norte,"Centro Hospitalar Universitário do Porto, EPE","41.1472498, -8.6172617",879125.27,128896770.93,127278606.03,-1383160.36,-1618164.9,2015,6
2015-06-01,Norte,"Centro Hospitalar Vila Nova Gaia/Espinho, EPE","41.1094138, -8.5972617",-3838008.7,87400253.38,80138118.07,-6864566.600000001,-7262135.31,2015,6
2015-06-01,Centro,"Hospital Distrital Figueira da Foz, EPE","40.117897, -8.8586755",1335210.45,12344408.69,13393101.55,1087386.6,1048692.86,2015,6
2015-06-01,Lisboa e Vale do Tejo,"Hospital Distrital Santarém, EPE","39.2410946, -8.6937515",-4509047.75,38849865.120000005,33233627.9,-5799066.23,-5616237.22,2015,6
2015-06-01,Centro,Hospital Dr. Francisco Zagalo - Ovar,"40.8571967, -8.6318023",-136629.62,3281350.48,3144720.86,-141369.79,-136629.62,2015,6
2015-06-01,Centro,"Unidade Local de Saúde de Castelo Branco, EPE","39.8212263, -7.4981271",177066.22,31697158.459999997,31143798.4,-514550.16,-553360.0599999999,2015,6
2015-06-01,Norte,"Unidade Local de Saúde do Alto Minho, EPE","41.7056054, -8.8252713",1078926.37,67255457.38000001,65943673.2,-1117056.24,-1311784.1800000002,2015,6
2015-07-01,Lisboa e Vale do Tejo,"Centro Hospitalar de Lisboa - Zona Ocidental, EPE","38.708454, -9.216985",-7870367.04,123534862.54,111899180.89,-12525341.09,-11635681.65,2015,7
2015-07-01,Lisboa e Vale do Tejo,"Centro Hospitalar de Setúbal, EPE","38.5283754, -8.8818638",-1714495.32,57906226.46,54342700.2,-6599396.44,-3563526.26,2015,7
2015-07-01,Norte,"Centro Hospitalar do Alto Ave, EPE","41.4387173, -8.3086907",0.0,0.0,0.0,0.0,0.0,2015,7
2015-07-01,Lisboa e Vale do Tejo,"Centro Hospitalar do Oeste, SPA","39.4054629, -9.1258493",1661003.4700000002,38758250.93,40419254.4,2227480.11,1661003.4700000002,2015,7
